source,city,postcode,type,price,surface,rooms,furnished,latitude,longitude,postType
Kamernet,amsterdam,1058VG, - Room ," € 850,-  Utilities incl. ",20 m2,,Furnished,52.360542,4.854231,Rent
Kamernet,amsterdam,1102CA, - Room ," € 530,-  Utilities incl. ",12 m2,,Unfurnished,52.312707,4.954991,Rent
Kamernet,amsterdam,1058AG, - Room ," € 1400,-  Utilities incl. ",18 m2,,Furnished,52.359414,4.855621,Rent
Kamernet,amsterdam,1059BD, - Apartment ," € 1800,-  ",61 m2, - 1 bedroom ,Furnished,52.348619,4.84704,Rent
Kamernet,amsterdam,1057NJ, - Room ," € 850,-  Utilities incl. ",18 m2,,Uncarpeted,52.3648,4.844062,Rent
Kamernet,amsterdam,1107KD, - Room ," € 740,-  Utilities incl. ",88 m2,,Furnished,52.295518,4.983734,Rent
Kamernet,amsterdam,1013AW, - Room ," € 1200,-  Utilities incl. ",25 m2,,Furnished,52.392451,4.890461,Rent
Kamernet,amsterdam,1061BM, - Room ," € 750,-  Utilities incl. ",16 m2,,Furnished,52.376979,4.839116,Rent
Kamernet,amsterdam,1096GJ, - Studio ," € 1400,-  ",30 m2, - 1 bedroom ,Furnished,52.339082,4.920205,Rent
Kamernet,amsterdam,1054VE, - Room ," € 1050,-  Utilities incl. ",16 m2,,Furnished,52.361319,4.86404,Rent
Kamernet,amsterdam,1076LJ, - Room ," € 875,-  Utilities incl. ",28 m2,,Unfurnished,52.345366,4.862768,Rent
Kamernet,amsterdam,1057RW, - Apartment ," € 1800,-  Utilities incl. ",45 m2, - 2 bedrooms ,Furnished,52.364866,4.85401,Rent
Kamernet,amsterdam,1054MH, - Studio ," € 1300,-  Utilities incl. ",50 m2, - 1 bedroom ,Furnished,52.362612,4.863867,Rent
Kamernet,amsterdam,1056TJ, - Room ," € 1075,-  ",15 m2,,Uncarpeted,52.372817,4.856511,Rent
Kamernet,amsterdam,1062AL, - Apartment ," € 2000,-  ",68 m2, - 2 bedrooms ,Furnished,52.362524,4.836168,Rent
Kamernet,amsterdam,1051KS, - Room ," € 910,-  Utilities incl. ",10 m2,,Furnished,52.385352,4.875457,Rent
Kamernet,amsterdam,1058XZ, - Apartment ," € 2100,-  Utilities incl. ",65 m2,,Furnished,52.363413,4.856312,Rent
Kamernet,amsterdam,1058XZ, - Room ," € 1000,-  ",12 m2,,Furnished,52.363413,4.856312,Rent
Kamernet,amsterdam,1025VN, - Room ," € 550,-  Utilities incl. ",10 m2,,Furnished,52.397318,4.929934,Rent
Kamernet,amsterdam,1011TE, - Apartment ," € 1750,-  ",30 m2,,Furnished,52.374212,4.906558,Rent
Kamernet,amstelveen,1185BN, - Room ," € 800,-  ",14 m2,,Uncarpeted,52.29579,4.863713,Rent
Kamernet,amstelveen,1181JM, - Apartment ," € 1820,-  ",82 m2, - 2 bedrooms ,Furnished,52.314654,4.867058,Rent
Kamernet,amstelveen,1185KM, - Room ," € 680,-  Utilities incl. ",14 m2,,Furnished,52.29419,4.849249,Rent
Kamernet,amstelveen,1182HN, - Room ," € 1015,-  Utilities incl. ",40 m2,,Furnished,52.315293,4.848102,Rent
Kamernet,amstelveen,1185BE, - Room ," € 690,-  ",18 m2,,Furnished,52.293879,4.864653,Rent
Kamernet,amstelveen,1187NL, - Room ," € 775,-  Utilities incl. ",10 m2,,Furnished,52.263126,4.799335,Rent
Kamernet,amstelveen,1188CG, - Room ," € 550,-  ",18 m2,,Furnished,52.283744,4.849502,Rent
Kamernet,amstelveen,1186WD, - Room ," € 720,-  Utilities incl. ",24 m2,,Furnished,52.278247,4.862512,Rent
Kamernet,amstelveen,1186DJ, - Room ," € 950,-  Utilities incl. ",28 m2,,Furnished,52.293883,4.868387,Rent
Kamernet,amstelveen,1182HN, - Apartment ," € 1015,-  Utilities incl. ",40 m2,,Furnished,52.315293,4.848102,Rent
Kamernet,diemen,1111LS, - Room ," € 775,-  Utilities incl. ",14 m2,,Furnished,52.345368,4.962729,Rent
Kamernet,diemen,1113LH, - Room ," € 650,-  Utilities incl. ",20 m2,,Furnished,52.347831,4.984341,Rent
Kamernet,diemen,1111KD, - Room ," € 700,-  ",9 m2,,Uncarpeted,52.346125,4.961594,Rent
Kamernet,diemen,1111GE, - Room ," € 675,-  Utilities incl. ",15 m2,,Furnished,52.340276,4.965628,Rent
Kamernet,diemen,1111LP, - Room ," € 850,-  Utilities incl. ",18 m2,,Furnished,52.345304,4.964135,Rent
Kamernet,diemen,1111LP, - Room ," € 775,-  Utilities incl. ",18 m2,,Furnished,52.345304,4.964135,Rent
Kamernet,diemen,1112NM, - Room ," € 585,-  Utilities incl. ",11 m2,,Furnished,52.333929,4.955811,Rent
Kamernet,diemen,1112WW, - Apartment ," € 1600,-  Utilities incl. ",64 m2,,Furnished,52.330637,4.959331,Rent
