source,postType,city,location,title,price,surface,rooms,furnished,url,scrape_date,post_code
Pararius,Buy,amsterdam,1102 ZP Amsterdam (Venserpolder),Appartement Dantestraat 128,€ 215.000 k.k.,34 m²,1 kamer,,https://www.pararius.nl/appartement-te-koop/amsterdam/f91995ea/dantestraat,2024-12-07,1102 ZP
Pararius,Buy,amsterdam,1091 AT Amsterdam (Oosterparkbuurt),Appartement Boerhaaveplein 16 4,€ 400.000 k.k.,54 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/b77dd640/boerhaaveplein,2024-12-07,1091 AT
Pararius,Buy,amsterdam,1102 EE Amsterdam (H-buurt),Appartement Hofgeest 101,€ 375.000 k.k.,90 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/6166f815/hofgeest,2024-12-07,1102 EE
Pararius,Buy,amsterdam,1065 TJ Amsterdam (Slotervaart-Zuid),Appartement Ward Bingleystraat 5 H,€ 450.000 k.k.,71 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/616c68ef/ward-bingleystraat,2024-12-07,1065 TJ
Pararius,Buy,amsterdam,1018 TN Amsterdam (Weesperbuurt/Plantage),Appartement Plantage Muidergracht 77 A,€ 675.000 k.k.,103 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/5dec4fff/plantage-muidergracht,2024-12-07,1018 TN
Pararius,Buy,amsterdam,1057 GH Amsterdam (Chassébuurt),Appartement Admiralengracht 168 2,€ 475.000 k.k.,54 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/80395a6a/admiralengracht,2024-12-07,1057 GH
Pararius,Buy,amsterdam,1052 GN Amsterdam (Frederik Hendrikbuurt),Appartement Amaliastraat 2 3,€ 695.000 k.k.,73 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/06ec5bb3/amaliastraat,2024-12-07,1052 GN
Pararius,Buy,amsterdam,1016 NA Amsterdam (Jordaan),Appartement Rozengracht 225 D,€ 795.000 k.k.,121 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/1656d07c/rozengracht,2024-12-07,1016 NA
Pararius,Buy,amsterdam,1057 DJ Amsterdam (Hoofdweg e.o.),Appartement Hoofdweg 266 2,€ 450.000 k.k.,58 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/f49fbaf0/hoofdweg,2024-12-07,1057 DJ
Pararius,Buy,amsterdam,1058 EG Amsterdam (Overtoomse Veld),Appartement Nachtwachtlaan 196,€ 425.000 k.k.,59 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/5666a6f8/nachtwachtlaan,2024-12-07,1058 EG
