page_source,first_scrape_date,last_scrape_date,url,post_type,city,location,title,property_type,postcode,price,price_type,surface,surface_unit,rooms,furnished,postcode_1,gemeente,gemeente_code,wijk,wijk_code,buurt,buurt_code,stadsdeel_onderverdeling,stadsdeel,pc6_jaar
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/86fd70c6/leerdamhof,Buy,Amsterdam,,Appartement Leerdamhof 233,Appartement,1108 BV,400000,k.k.,128,m2,6,,1108 BV,Amsterdam,GM0363,Nellestein,WK0363TK,L-buurt,BU0363TK01,Gaasperdam,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/ad83d7e4/kleiburg,Buy,Amsterdam,,Appartement Kleiburg 246,Appartement,1104 EA,300000,k.k.,65,m2,2,,1104 EA,Amsterdam,GM0363,Bijlmermuseum,WK0363TG,Bijlmermuseum-Zuid,BU0363TG02,Bijlmer Oost,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/11ac603c/wamelplein,Buy,Amsterdam,,Appartement Wamelplein 66,Appartement,1106 DR,275000,k.k.,61,m2,2,,1106 DR,Amsterdam,GM0363,Gein,WK0363TM,Gein 1,BU0363TM01,Gaasperdam,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/b6820824/havikshorst,Buy,Amsterdam,,Appartement Havikshorst 149,Appartement,1083 TR,450000,k.k.,73,m2,3,,1083 TR,Amsterdam,GM0363,Buitenveldert-Oost,WK0363KR,Buitenveldert-Oost-Midden,BU0363KR02,Buitenveldert / Zuidas,Stadsdeel Zuid,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/2a2192bf/fresiastraat,Buy,Amsterdam,,Appartement Fresiastraat 11,Appartement,1032 BE,450000,k.k.,71,m2,3,,1032 BE,Amsterdam,GM0363,Volewijck,WK0363NK,Bloemenbuurt-Noord,BU0363NK01,Oud-Noord,Stadsdeel Noord,2024
Pararius,2024-12-05,2024-12-17,https://www.pararius.nl/apartment-for-rent/amsterdam/d718e43b/werkhovenstraat,Rent,Amsterdam,1107 KH Amsterdam (Gein),Flat Werkhovenstraat,Flat,1107 KH,2000,per month,81,m²,4,Furnished,1107 KH,Amsterdam,GM0363,Gein,WK0363TM,Gein 2,BU0363TM02,Gaasperdam,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-17,https://www.pararius.nl/huis-te-koop/amsterdam/68de64a8/huntum,Buy,Amsterdam,1102 JB Amsterdam (H-buurt),Huis Huntum 33,Huis,1102 JB,655000,k.k.,129,m²,5,,1102 JB,Amsterdam,GM0363,H-buurt,WK0363TD,Huntum,BU0363TD04,Bijlmer Centrum,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-17,https://www.pararius.nl/house-for-rent/amsterdam/e4c2677a/durgerdammergouw,Rent,Amsterdam,1028 BT Amsterdam (Waterland),House Durgerdammergouw,House,1028 BT,3250,per month,140,m²,2,Furnished,1028 BT,Amsterdam,GM0363,Waterland,WK0363NQ,Ransdorp,BU0363NQ09,Oost,Stadsdeel Noord,2024
Pararius,2024-12-05,2024-12-17,https://www.pararius.nl/appartement-te-koop/amsterdam/eb35b548/bijlmerdreef,Buy,Amsterdam,1103 TT Amsterdam (Ganzenhoef e.o.),Appartement Bijlmerdreef 1167,Appartement,1103 TT,495000,k.k.,126,m²,5,,1103 TT,Amsterdam,GM0363,Ganzenhoef e.o.,WK0363TE,G-buurt-West,BU0363TE02,Bijlmer Oost,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-17,https://www.pararius.nl/appartement-te-koop/amsterdam/b11cb01d/aurikelstraat,Buy,Amsterdam,1032 AS Amsterdam (Volewijck),Appartement Aurikelstraat 71,Appartement,1032 AS,435000,k.k.,72,m²,3,,1032 AS,Amsterdam,GM0363,Volewijck,WK0363NK,Bloemenbuurt-Noord,BU0363NK01,Oud-Noord,Stadsdeel Noord,2024
