postcode,category
1068MS,eventservices
1068MS,financialservices
1068MS,food
1068MS,health
1068MS,homeservices
1068MS,hotelstravel
1068MS,localflavor
1068MS,localservices
1068MS,massmedia
1068MS,nightlife
1068MS,pets
1068MS,professional
1068MS,publicservicesgovt
1068MS,religiousorgs
1068MS,restaurants
1068MS,shopping
1079VL,active
1079VL,arts
1079VL,auto
1079VL,beautysvc
1079VL,bicycles
1079VL,education
1079VL,eventservices
1079VL,financialservices
1079VL,food
1079VL,health
1079VL,homeservices
1079VL,hotelstravel
1079VL,localflavor
1079VL,localservices
1079VL,massmedia
1079VL,nightlife
1079VL,pets
1079VL,professional
1079VL,publicservicesgovt
1079VL,religiousorgs
1079VL,restaurants
1079VL,shopping
1057NG,active
1057NG,arts
1057NG,auto
1057NG,beautysvc
1057NG,bicycles
1057NG,education
1057NG,eventservices
1057NG,financialservices
1057NG,food
1057NG,health
1057NG,homeservices
1057NG,hotelstravel
1057NG,localflavor
1057NG,localservices
1057NG,massmedia
1057NG,nightlife
1057NG,pets
1057NG,professional
1057NG,publicservicesgovt
1057NG,religiousorgs
1057NG,restaurants
1057NG,shopping
1066MT,active
1066MT,arts
1066MT,auto
1066MT,beautysvc
1066MT,bicycles
1066MT,education
1066MT,eventservices
1066MT,financialservices
1066MT,food
1066MT,health
1066MT,homeservices
1066MT,hotelstravel
1066MT,localflavor
1066MT,localservices
1066MT,massmedia
1066MT,nightlife
1066MT,pets
1066MT,professional
1066MT,publicservicesgovt
1066MT,religiousorgs
1066MT,restaurants
1066MT,shopping
1055XP,active
1055XP,arts
1055XP,auto
1055XP,beautysvc
1055XP,bicycles
1055XP,education
1055XP,eventservices
1055XP,financialservices
1055XP,food
1055XP,health
1055XP,homeservices
1055XP,hotelstravel
1055XP,localflavor
1055XP,localservices
1055XP,massmedia
1055XP,nightlife
1055XP,pets
1055XP,professional
1055XP,publicservicesgovt
1055XP,religiousorgs
1055XP,restaurants
1055XP,shopping
1095AE,active
1095AE,arts
1095AE,auto
1095AE,beautysvc
1095AE,bicycles
1095AE,education
1095AE,eventservices
1095AE,financialservices
1095AE,food
1095AE,health
1095AE,homeservices
1095AE,hotelstravel
1095AE,localflavor
1095AE,localservices
1095AE,massmedia
1095AE,nightlife
1095AE,pets
1095AE,professional
1095AE,publicservicesgovt
1095AE,religiousorgs
1095AE,restaurants
1095AE,shopping
1018AK,active
1018AK,arts
1018AK,auto
1018AK,beautysvc
1018AK,bicycles
1018AK,education
1018AK,eventservices
1018AK,financialservices
1018AK,food
1018AK,health
1018AK,homeservices
1018AK,hotelstravel
1018AK,localflavor
1018AK,localservices
1018AK,massmedia
1018AK,nightlife
1018AK,pets
1018AK,professional
1018AK,publicservicesgovt
1018AK,religiousorgs
1018AK,restaurants
1018AK,shopping
1057HM,active
1057HM,arts
1057HM,auto
1057HM,beautysvc
1057HM,bicycles
1057HM,education
1057HM,eventservices
1057HM,financialservices
1057HM,food
1057HM,health
1057HM,homeservices
1057HM,hotelstravel
1057HM,localflavor
1057HM,localservices
1057HM,massmedia
1057HM,nightlife
1057HM,pets
1057HM,professional
1057HM,publicservicesgovt
1057HM,religiousorgs
1057HM,restaurants
1057HM,shopping
1106AE,active
1106AE,arts
1106AE,auto
1106AE,beautysvc
1106AE,bicycles
1106AE,education
1106AE,eventservices
1106AE,financialservices
1106AE,food
1106AE,health
1106AE,homeservices
1106AE,hotelstravel
1106AE,localflavor
1106AE,localservices
1106AE,massmedia
1106AE,nightlife
1106AE,pets
1106AE,professional
1106AE,publicservicesgovt
1106AE,religiousorgs
1106AE,restaurants
1106AE,shopping
1054CD,active
1054CD,arts
1054CD,auto
1054CD,beautysvc
1054CD,bicycles
1054CD,education
1054CD,eventservices
1054CD,financialservices
1054CD,food
1054CD,health
1054CD,homeservices
1054CD,hotelstravel
1054CD,localflavor
1054CD,localservices
1054CD,massmedia
1054CD,nightlife
1054CD,pets
1054CD,professional
1054CD,publicservicesgovt
1054CD,religiousorgs
1054CD,restaurants
1054CD,shopping
1059XR,active
1059XR,arts
1059XR,auto
1059XR,beautysvc
1059XR,bicycles
1059XR,education
1059XR,eventservices
1059XR,financialservices
1059XR,food
1059XR,health
1059XR,homeservices
1059XR,hotelstravel
1059XR,localflavor
1059XR,localservices
1059XR,massmedia
1059XR,nightlife
1059XR,pets
1059XR,professional
1059XR,publicservicesgovt
1059XR,religiousorgs
1059XR,restaurants
1059XR,shopping
1015BT,active
1015BT,arts
1015BT,auto
1015BT,beautysvc
1015BT,bicycles
1015BT,education
1015BT,eventservices
1015BT,financialservices
1015BT,food
1015BT,health
1015BT,homeservices
1015BT,hotelstravel
1015BT,localflavor
1015BT,localservices
1015BT,massmedia
1015BT,nightlife
1015BT,pets
1015BT,professional
1015BT,publicservicesgovt
1015BT,religiousorgs
1015BT,restaurants
1015BT,shopping
1067MX,active
1067MX,arts
1067MX,auto
1067MX,beautysvc
1067MX,bicycles
1067MX,education
1067MX,eventservices
1067MX,financialservices
1067MX,food
1067MX,health
1067MX,homeservices
1067MX,hotelstravel
1067MX,localflavor
1067MX,localservices
1067MX,massmedia
1067MX,nightlife
1067MX,pets
1067MX,professional
