buurt;wijk;stadsdeel_onderverdeling;stadsdeel
Baaibuurt-West;Zeeburgereiland/Bovendiep;IJburg / Eiland Zeeburg;Stadsdeel Oost
Baaibuurt-Oost;Zeeburgereiland/Bovendiep;IJburg / Eiland Zeeburg;Stadsdeel Oost
Bovendiep/Diemerpark;Zeeburgereiland/Bovendiep;IJburg / Eiland Zeeburg;Stadsdeel Oost
Steigereiland-Zuid;IJburg-West;IJburg / Eiland Zeeburg;Stadsdeel Oost
Steigereiland-Noord;IJburg-West;IJburg / Eiland Zeeburg;Stadsdeel Oost
Rieteilanden-West;IJburg-West;IJburg / Eiland Zeeburg;Stadsdeel Oost
Joris Ivenspleinbuurt;IJburg-West;IJburg / Eiland Zeeburg;Stadsdeel Oost
Ed Pelsterparkbuurt;IJburg-West;IJburg / Eiland Zeeburg;Stadsdeel Oost
Havenkwartier IJburg;IJburg-Zuid;IJburg / Eiland Zeeburg;Stadsdeel Oost
Theo van Goghparkbuurt;IJburg-Zuid;IJburg / Eiland Zeeburg;Stadsdeel Oost
Rieteiland-Oost;IJburg-Zuid;IJburg / Eiland Zeeburg;Stadsdeel Oost
Middenmeer-Noord;Middenmeer;Watergraafsmeer;Stadsdeel Oost
Middenmeer-Zuid;Middenmeer;Watergraafsmeer;Stadsdeel Oost
Science Park-Noord;Middenmeer;Watergraafsmeer;Stadsdeel Oost
Science Park-Zuid;Middenmeer;Watergraafsmeer;Stadsdeel Oost
Sportpark Middenmeer-Zuid;Middenmeer;Watergraafsmeer;Stadsdeel Oost
Sportpark Middenmeer-Noord;Middenmeer;Watergraafsmeer;Stadsdeel Oost
Amstelkwartier-West;Omval/Overamstel;Watergraafsmeer;Stadsdeel Oost
Amstelkwartier-Noord;Omval/Overamstel;Watergraafsmeer;Stadsdeel Oost
Amstelkwartier-Zuid;Omval/Overamstel;Watergraafsmeer;Stadsdeel Oost
Melkweg/Oostzanerwerf;Oostzanerwerf;West;Stadsdeel Noord
Twiske-West;Oostzanerwerf;West;Stadsdeel Noord
Circus/Kermisbuurt;Oostzanerwerf;West;Stadsdeel Noord
Cornelis Douwesterrein-West;Noordelijke IJ-oevers-West;Oud-Noord;Stadsdeel Noord
Cornelis Douwesterrein-Oost;Noordelijke IJ-oevers-West;Oud-Noord;Stadsdeel Noord
Buiksloterham-Zuid;Noordelijke IJ-oevers-West;Oud-Noord;Stadsdeel Noord
Buiksloterham-Noord;Noordelijke IJ-oevers-West;Oud-Noord;Stadsdeel Noord
Klaprozenbuurt;Noordelijke IJ-oevers-West;Oud-Noord;Stadsdeel Noord
